,Accountable_Organization,Implementing_Organization,Award_Status,Award_Total_Estimated_Value,Award_Start_Date,Award_End_Date,Award_Transaction_Value,Award_Transaction_DAC_Purpose_Code,Award_Transaction_DAC_Purpose_Code_Name,Award_Transaction_US_Foreign_Assistance_Category,Year
1180,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2016-09-30,11988.66,72010,Material relief assistance and services,Humanitarian Assistance,2015
1181,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-09-10,2016-09-30,2100000.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
1182,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,3800000.0,2016-10-01,2018-09-30,760000.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
1183,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-05-13,2017-09-30,2210531.45,72010,Material relief assistance and services,Humanitarian Assistance,2013
1184,U.S. Agency for International Development,Enterprise - Non United States Unknown,Completion,0.0,2012-10-01,2014-09-30,766.809999999999,43010,Multisector aid,Program Management,2012
1185,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-07-01,2017-09-30,111574.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2013
1186,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,3194441.0,2016-10-01,2018-09-30,439592.12,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
1188,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2013-10-01,2014-09-30,157751.579999999,43010,Multisector aid,Program Management,2013
1189,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,0.0,2012-09-24,2018-09-30,124.06,91010,Administrative costs,Program Management,2012
1190,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,2000000.0,2016-10-01,2018-09-30,850853.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
1191,U.S. Agency for International Development,"Development Transformations, LLc",Implementation,0.0,2014-10-01,2018-09-30,3286.38,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
1192,U.S. Agency for International Development,Dexis Consulting Group,Completion,0.0,2014-10-01,2018-07-28,35769.23,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
1193,U.S. Agency for International Development,Personal Services Contractors - USAID,Implementation,0.0,2015-10-01,2018-09-30,494.31,72010,Material relief assistance and services,Humanitarian Assistance,2015
1194,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,152560.0,2016-10-01,2018-09-30,152560.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
1195,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,39259341.77,2013-01-10,2018-09-30,34625.5299999999,72040,Emergency food aid,Humanitarian Assistance,2013
1196,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2012-10-01,2013-09-30,4856.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
1197,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2015-09-30,505293.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
1198,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,13643.2,43010,Multisector aid,Multi-sector,2016
1199,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,15700000.0,2015-09-30,2017-09-30,2300000.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
1200,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,14646494.0,2015-09-11,2017-09-30,5532247.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
1201,U.S. Agency for International Development,"Development Transformations, Llc",Implementation,0.0,2014-10-01,2018-09-30,500000.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
1202,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-02-27,2017-09-30,8000000.0,72040,Emergency food aid,Humanitarian Assistance,2012
1203,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,297.5,43010,Multisector aid,Multi-sector,2016
1204,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,8996326.33,2016-03-04,2018-09-30,409034.669999999,72040,Emergency food aid,Humanitarian Assistance,2016
1205,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,5822672.0,2016-09-01,2017-08-31,83889.0,72010,Material relief assistance and services,Humanitarian Assistance,2016
1207,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2017-09-30,139793.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
1208,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,3197656.0,2013-07-15,2017-09-30,15352.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
1209,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Completion,0.0,2017-10-01,2018-09-30,99587.8099999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
1211,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2016-09-30,4528.0,74010,Disaster prevention and preparedness,Humanitarian Assistance,2015
1212,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2014-10-01,2015-09-30,4237.29,43010,Multisector aid,Program Management,2014
1213,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,34715973.0,2015-10-01,2018-09-30,1289032.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2015
1214,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2013-10-01,2015-09-30,31581.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
1215,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2017-10-01,2018-09-30,1.18999999999999,91010,Administrative costs,Program Management,2017
1216,U.S. Agency for International Development,Personal Services Contractors - USAID,Implementation,0.0,2016-10-01,2018-09-30,1173.5,74010,Disaster prevention and preparedness,Humanitarian Assistance,2016
1217,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-02-27,2017-09-30,2859555.64999999,72040,Emergency food aid,Humanitarian Assistance,2012
1218,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,19045.4,72010,Material relief assistance and services,Humanitarian Assistance,2012
1219,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-08-30,2017-09-30,2031890.93999999,72010,Material relief assistance and services,Humanitarian Assistance,2013
1220,U.S. Agency for International Development,"Development Transformations, Llc",Implementation,4593364.0,2014-10-01,2018-09-30,146813.16,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
1221,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,0.0,2017-10-01,2018-09-30,3723.02,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
1222,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,37798951.0,2017-09-25,2018-09-30,8085622.0,72040,Emergency food aid,Humanitarian Assistance,2017
1223,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,0.0,2017-10-01,2018-09-30,4708.6,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
1224,U.S. Agency for International Development,"Chemonics International, Inc.",Implementation,0.0,2012-10-01,2018-09-30,31266.29,91010,Administrative costs,Program Management,2012
1225,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2016-10-01,2018-09-30,39725.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
1226,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,0.0,2017-10-01,2018-09-30,38022.4,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
1227,U.S. Agency for International Development,Agency for Technical Cooperation and Development,Completion,14000000.0,2017-10-01,2018-09-30,14000000.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
1228,U.S. Agency for International Development,United Nations Children's Fund,Completion,1200000.0,2017-10-01,2018-09-30,150000.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
1229,U.S. Agency for International Development,International Relief and Development,Completion,0.0,2013-09-30,2015-09-30,203000.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2013
1230,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,45159.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
1233,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-02-27,2017-09-30,7554149.61,72040,Emergency food aid,Humanitarian Assistance,2012
1234,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,0.0,2013-01-07,2017-09-30,5760605.2,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2013
1235,U.S. Agency for International Development,Enterprise - Non United States Other,Completion,0.0,2017-10-01,2018-09-30,800.88,43010,Multisector aid,Program Management,2017
1236,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,6000000.0,2015-07-09,2017-09-30,1200000.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
1237,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-30,2017-09-30,8967060.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
1239,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,2214784.0,2016-10-01,2018-09-30,450564.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
1240,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2012-10-01,2013-09-30,22501.0,43010,Multisector aid,Program Management,2012
1241,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,4191505.0,2014-02-26,2017-09-30,1347520.0,72010,Material relief assistance and services,Humanitarian Assistance,2014
1242,U.S. Agency for International Development,Personal Services Contractors - USAID,Implementation,0.0,2017-10-01,2018-09-30,15.1,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
1243,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,17679340.0,2015-10-01,2018-09-30,2798853.64999999,72040,Emergency food aid,Humanitarian Assistance,2015
1244,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2012-10-01,2013-09-30,125579.0,43010,Multisector aid,Program Management,2012
1245,U.S. Agency for International Development,Enterprise - Non United States Unknown,Completion,0.0,2012-10-01,2014-09-30,1200.0,43010,Multisector aid,Program Management,2012
1246,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-30,2017-09-30,2062788.96,72010,Material relief assistance and services,Humanitarian Assistance,2012
1247,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2015-10-01,2016-09-30,22415.07,43010,Multisector aid,Program Management,2015
1248,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,689.86,72010,Material relief assistance and services,Humanitarian Assistance,2012
1249,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2016-09-30,3744.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
1250,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,20557.8699999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
1251,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,9601719.0,2015-10-01,2018-09-30,965600.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
1253,U.S. Agency for International Development,United Nations Children's Fund,Implementation,24044758.0,2015-10-01,2018-09-30,702403.13,72010,Material relief assistance and services,Humanitarian Assistance,2015
1254,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,3400000.0,2016-10-01,2018-09-30,650000.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
1255,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-08-30,2017-09-30,1211390.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
1256,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,0.0,2015-10-01,2018-09-30,17112.5099999999,72010,Material relief assistance and services,Humanitarian Assistance,2015
1257,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2012-10-01,2013-09-30,26885.22,43010,Multisector aid,Program Management,2012
1258,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,21834063.0,2013-07-01,2017-09-30,1482000.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
1259,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-10-17,2017-09-30,350000.0,72040,Emergency food aid,Humanitarian Assistance,2014
1260,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2015-08-21,2017-09-30,18128907.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
1261,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,21152072.0,2015-10-01,2017-09-30,3773502.77,72040,Emergency food aid,Humanitarian Assistance,2015
1262,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,46270000.0,2015-10-01,2017-09-30,2472520.58,72010,Material relief assistance and services,Humanitarian Assistance,2015
1264,U.S. Agency for International Development,Blumont Global Development,Completion,3995760.0,2017-10-01,2018-09-30,3995760.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
1265,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Completion,0.0,2017-10-01,2018-09-30,8649.5,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
1266,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,1943590.0,2015-07-01,2018-09-30,8899.23999999999,72010,Material relief assistance and services,Humanitarian Assistance,2015
1267,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,3000000.0,2015-10-01,2017-09-30,3000000.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
1268,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2017-10-01,2018-09-30,239887.359999999,91010,Administrative costs,Program Management,2017
1269,U.S. Agency for International Development,Personal Services Contractors - USAID,Implementation,0.0,2016-10-01,2018-09-30,13167.03,74010,Disaster prevention and preparedness,Humanitarian Assistance,2016
1271,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2016-10-01,2018-09-30,33774.68,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
1272,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2015-01-29,2018-09-30,16705065.0,72040,Emergency food aid,Humanitarian Assistance,2015
1273,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-10-01,2015-09-30,27.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
1274,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2013-10-01,2014-09-30,1352.74,43010,Multisector aid,Program Management,2013
1275,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-01-25,2017-09-30,17500.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
1276,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2014-10-01,2015-09-30,32676.56,43010,Multisector aid,Program Management,2014
1279,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,1900697.0,2016-10-01,2018-09-30,169000.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
1281,U.S. Agency for International Development,Personal Services Contractors - USAID,Implementation,0.0,2017-10-01,2018-09-30,7020.34,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
1282,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,0.0,2014-10-01,2017-09-30,600000.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
1283,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2016-10-01,2017-09-30,17914.0,74010,Disaster prevention and preparedness,Humanitarian Assistance,2016
1284,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2015-10-01,2017-09-30,10015.91,72010,Material relief assistance and services,Humanitarian Assistance,2015
1285,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,3290159.0,2014-10-01,2017-09-30,309581.599999999,72040,Emergency food aid,Humanitarian Assistance,2014
1286,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2016-10-01,2017-09-30,3653.46,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
1287,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-08-20,2015-09-30,1250000.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
1290,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,6032831.0,2015-10-01,2018-09-30,359532.21,72010,Material relief assistance and services,Humanitarian Assistance,2015
1291,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,96614565.75,2013-05-01,2018-09-30,5199.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2013
1292,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,0.0,2017-10-01,2018-09-30,33340.0999999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
1293,U.S. Agency for International Development,International Relief and Development,Completion,0.0,2013-09-30,2015-09-30,221000.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2013
1294,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,57000000.0,2015-10-01,2017-09-30,57000000.0,72040,Emergency food aid,Humanitarian Assistance,2015
1296,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,3261362.0,2015-09-30,2017-09-30,400000.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
1297,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,5100000.0,2013-09-10,2016-09-30,500000.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
1298,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-02-27,2017-09-30,24061323.23,72040,Emergency food aid,Humanitarian Assistance,2012
1299,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2013-10-01,2014-09-30,14.1999999999999,72010,Material relief assistance and services,Humanitarian Assistance,2013
1300,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-05-13,2017-09-30,1031942.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2013
1301,U.S. Agency for International Development,International Organisation for Migration,Completion,13394072.0,2017-10-01,2018-09-30,13394072.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
1302,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,700000.0,2013-10-01,2017-09-30,125879.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
1303,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,2525060.87,2015-10-01,2018-09-30,505862.969999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2015
1304,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,26000000.0,2015-10-01,2018-09-30,26000000.0,72040,Emergency food aid,Humanitarian Assistance,2015
1305,U.S. Agency for International Development,Vendor implementing direct administrative services,Implementation,0.0,2017-10-01,2018-09-30,80577.32,91010,Administrative costs,Program Management,2017
1306,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,0.0,2014-10-01,2017-09-30,188363.399999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
1307,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,5800000.0,2016-10-01,2018-09-30,2000000.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
1309,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,0.0,2017-10-01,2018-09-30,9414.35,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
1310,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-08-20,2015-09-30,141312.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
1311,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2016-10-01,2017-09-30,247.96,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
1312,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-08-30,2017-09-30,7000000.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
1313,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2015-10-01,2016-09-30,57020.86,43010,Multisector aid,Program Management,2015
1314,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,0.0,2017-10-01,2018-09-30,2659.65999999999,74010,Disaster prevention and preparedness,Humanitarian Assistance,2017
1315,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-05-04,2016-09-30,7924697.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
1316,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2016-10-01,2017-09-30,163405.95,43010,Multisector aid,Education and Social Services,2016
1318,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,2000000.0,2017-10-01,2018-09-30,500563.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
1319,U.S. Agency for International Development,World Food Program,Implementation,1649322.0,2012-10-01,2018-09-30,118245.31,52010,Food aid/Food security programmes,Humanitarian Assistance,2012
1320,U.S. Agency for International Development,PremiËre Urgence,Completion,458119.789999999,2012-10-01,2016-09-30,41880.2099999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
1321,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-09-24,2016-09-30,376110.0,72040,Emergency food aid,Humanitarian Assistance,2013
1322,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2012-10-01,2015-09-30,3625.0,74010,Disaster prevention and preparedness,Humanitarian Assistance,2012
1323,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-10-01,2015-09-30,1271.38,72010,Material relief assistance and services,Humanitarian Assistance,2013
1324,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,24999532.0,2015-10-01,2017-09-30,23694391.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
1325,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2013-10-01,2014-09-30,143574.31,43010,Multisector aid,Program Management,2013
1326,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,10782547.0,2015-10-01,2018-09-30,608173.859999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2015
1327,U.S. Agency for International Development,"Development Transformations, Llc",Implementation,3616973.0,2014-10-01,2018-09-30,91669.52,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
1328,U.S. Agency for International Development,Personal Services Contractors - USAID,Implementation,0.0,2017-10-01,2018-09-30,252.47,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
1329,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2016-10-01,2017-09-30,3471.94999999999,43010,Multisector aid,Program Management,2016
1330,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,2000.0,43010,Multisector aid,Multi-sector,2016
1332,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,0.0,2014-10-01,2017-09-30,4350000.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
1333,U.S. Agency for International Development,Personal Services Contractors - USAID,Implementation,0.0,2017-10-01,2018-09-30,12686.1,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
